Year,County,Region,Type of Forest,Clear-cut Areal,3-10 years  Areal,11 - 20 years  Areal,21 - 30 years  Areal,31 - 40 years  Areal,41 - 60 years  Areal,61 - 80 years  Areal,81 - 100 years  Areal,101 - 120 years  Areal,121 - 140 years  Areal,141+ years  Areal,Yearly growth,Average Age,Clear-cut Percent,3-10 years  Percent,11 - 20 years  Percent,21 - 30 years  Percent,31 - 40 years  Percent,41 - 60 years  Percent,61 - 80 years  Percent,81 - 100 years  Percent,101 - 120 years  Percent,121 - 140 years  Percent,141+ years  Percent,Old Forest 100 120 140*
2005,01 Stockholms län,Svealand,Unprotected,19.9,18.1,21.9,37.1,28.6,43.6,42.2,28.5,25.8,8.2,11.6,7.11,54.9,7,6.3,7.7,13,10,15.3,14.8,10,9,2.9,4.1,16
2005,03 Uppsala län,Svealand,Unprotected,20.5,40.7,50.5,41,51.6,76.8,76.3,55,28.1,17.2,6.3,6.66,52.1,4.4,8.8,10.9,8.8,11.1,16.6,16.4,11.9,6.1,3.7,1.4,5.1
2005,04 Södermanlands län,Svealand,Unprotected,13.1,22.6,36.5,30.9,37.2,74.5,53.9,37.4,12.6,7.1,4.4,7.72,50.2,4,6.8,11.1,9.4,11.3,22.6,16.3,11.3,3.8,2.2,1.3,7.3
2005,05 Östergötlands län,Svealand,Unprotected,21.1,53.1,61.8,79,84.5,113.3,78.4,70.3,38.1,14.6,8,7.96,49.6,3.4,8.5,9.9,12.7,13.6,18.2,12.6,11.3,6.1,2.3,1.3,9.7
2005,06 Jönköpings län,Götaland,Unprotected,30.1,59.7,86.2,66.3,82.7,121.3,107.7,86.6,44.6,22.5,13.1,7.15,51.8,4.2,8.3,12,9.2,11.5,16.8,14.9,12,6.2,3.1,1.8,11.1
2005,07 Kronobergs län,Götaland,Unprotected,42.3,69.9,61.6,65.3,84,95.3,107.2,73,34.9,6.4,1.4,6.36,46.1,6.6,10.9,9.6,10.2,13.1,14.9,16.7,11.4,5.4,1,0.2,1.2
2005,08 Kalmar län,Götaland,Unprotected,30.4,49.3,67.6,74.6,66.7,120.9,121,70.7,47.5,21.7,6,7.22,52.2,4.5,7.3,10,11,9.9,17.9,17.9,10.5,7,3.2,0.9,11.1
2005,09 Gotlands län,Götaland,Unprotected,3.1,4.2,12.1,8.7,6.2,9.8,10.1,7.7,11.3,13.6,13.2,4.17,75.3,3.1,4.2,12.1,8.7,6.2,9.8,10.1,7.7,11.3,13.6,13.2,13.2
2005,10 Blekinge län,Götaland,Unprotected,7.6,17.8,14.8,25.7,22.8,30.5,36.2,15.3,6.8,1.5,,8.34,45.5,4.3,10,8.3,14.4,12.8,17.1,20.2,8.6,3.8,0.8,0,4.6
2005,12 Skåne län,Götaland,Unprotected,22,27.4,37.3,36.5,41.1,92,56.3,38.9,23.9,11.2,1,8.24,49.9,5.7,7.1,9.6,9.4,10.6,23.7,14.5,10,6.2,2.9,0.3,9.4
2005,13 Hallands län,Götaland,Unprotected,15,27.4,25.1,29.2,39.7,53.4,59.5,33,12.2,1.7,0.2,8.3,47.3,5.1,9.2,8.5,9.9,13.4,18,20.1,11.1,4.1,0.6,0.1,4.8
2005,14 Västra Götalands län,Götaland,Unprotected,53.7,121.2,121.5,139,151.3,206.8,172.7,137.4,80.4,30.7,19.4,7.66,50,4.4,9.8,9.8,11.3,12.3,16.8,14,11.1,6.5,2.5,1.6,10.6
2005,17 Värmlands län,Svealand,Unprotected,58.9,115.2,137.6,158.9,173.2,284,102.4,105.1,68.3,43.4,38.3,6.7,48.6,4.6,9,10.7,12.4,13.5,22.1,8,8.2,5.3,3.4,3,6.4
2005,18 Örebro län,Svealand,Unprotected,29.3,48.8,70.7,75.7,76.4,90.7,69.6,36.4,47.6,13.8,4.5,6.74,46.6,5.2,8.7,12.5,13.4,13.6,16.1,12.3,6.5,8.4,2.4,0.8,3.2
2005,19 Västmanlands län,Svealand,Unprotected,14.8,34.9,40.6,28.1,31.4,45.2,35.7,30,16.1,9.3,1.8,6.42,46.1,5.1,12.1,14.1,9.8,10.9,15.7,12.4,10.4,5.6,3.2,0.6,3.8
2005,20 Dalarnas län,Svealand,Unprotected,88.7,151.3,209.8,249.1,174.1,219.2,115,145.8,143.1,176.2,158.6,4.69,60.5,4.8,8.3,11.5,13.6,9.5,12,6.3,8,7.8,9.6,8.7,8.7
2005,21 Gävleborgs län,Södra Norrland,Unprotected,66.1,151.6,149,185.6,176.4,248.4,143.9,143.7,127,69.8,46.8,6.01,52.6,4.4,10.1,9.9,12.3,11.7,16.5,9.5,9.5,8.4,4.6,3.1,7.7
2005,22 Västernorrlands län,Södra Norrland,Unprotected,81.4,144.4,200.3,226.4,193.4,217.4,153.1,161.4,152.2,109.2,63.9,5.92,54.5,4.8,8.5,11.8,13.3,11.4,12.8,9,9.5,8.9,6.4,3.8,10.2
2005,23 Jämtlands län,Södra Norrland,Unprotected,109.8,225.4,298.7,256.9,214.6,254.4,131.3,193.6,289,291.7,311.7,4.23,68,4.3,8.7,11.6,10,8.3,9.9,5.1,7.5,11.2,11.3,12.1,12.1
2005,24 Västerbottens län,Norra Norrland,Unprotected,132.4,242,316.6,336.2,215.3,470.4,324.3,264.3,224.9,230.5,232,3.73,60.7,4.4,8.1,10.6,11.2,7.2,15.7,10.9,8.8,7.5,7.7,7.8,7.8
2005,25 Norrbottens län,Norra Norrland,Unprotected,108.3,249.5,243.7,348.1,336.4,618.8,402.7,307.8,244.7,254.2,266.4,2.93,62.8,3.2,7.4,7.2,10.3,10,18.3,11.9,9.1,7.2,7.5,7.9,7.9
2006,01 Stockholms län,Svealand,Unprotected,20,19.4,21.4,37.7,29.2,42.7,42.7,29.2,25.9,6.8,11.6,7.11,54.5,7,6.8,7.5,13.2,10.2,14.9,14.9,10.2,9,2.4,4,15.4
2006,03 Uppsala län,Svealand,Unprotected,17.1,42.2,49.3,39.4,47.2,74.9,70.9,57.2,26.7,18.8,5.8,6.66,52.7,3.8,9.4,11,8.8,10.5,16.7,15.8,12.7,5.9,4.2,1.3,5.5
2006,04 Södermanlands län,Svealand,Unprotected,14.8,20.9,37.2,34.8,38.4,72.1,54,35,13.9,7.5,4.9,7.72,49.9,4.4,6.3,11.2,10.4,11.5,21.6,16.2,10.5,4.2,2.2,1.5,7.9
2006,05 Östergötlands län,Svealand,Unprotected,23.3,51.9,62.7,78.9,80,118.7,75.8,71.7,37,14,8,7.96,49.5,3.7,8.3,10.1,12.7,12.9,19.1,12.2,11.5,5.9,2.3,1.3,9.5
2006,06 Jönköpings län,Götaland,Unprotected,32.1,64.8,80.8,62.8,74.1,115.8,92.3,91.1,46.8,20.6,15.2,7.15,52.1,4.6,9.3,11.6,9,10.6,16.6,13.3,13.1,6.7,3,2.2,11.9
2006,07 Kronobergs län,Götaland,Unprotected,52.4,71,65.9,57.7,82.5,88.8,102.1,68.2,34.1,6.6,1.4,6.36,44.7,8.3,11.3,10.4,9.1,13.1,14.1,16.2,10.8,5.4,1,0.2,1.2
2006,08 Kalmar län,Götaland,Unprotected,28.7,57.1,64.8,80.2,65.7,127.1,123.3,68,49.4,21.2,5.5,7.22,51.6,4.2,8.3,9.4,11.6,9.5,18.4,17.8,9.8,7.1,3.1,0.8,11
2006,09 Gotlands län,Götaland,Unprotected,3.4,4.8,9.2,10.2,7.9,9,14.1,8.7,9.4,11.1,14.4,4.17,73.9,3.3,4.7,9,10,7.7,8.8,13.8,8.5,9.2,10.9,14.1,14.1
2006,10 Blekinge län,Götaland,Unprotected,8.3,18.5,10.8,22.3,22.9,28.9,37.4,10,6.8,1.5,,8.34,44.9,5,11.1,6.5,13.3,13.7,17.3,22.3,6,4.1,0.9,0,5
