,Year,County,Region,Type of Forest,Yearly growth,Average Age,Clear-cut Percent,3-10 years  Percent,11 - 20 years  Percent,21 - 30 years  Percent,31 - 40 years  Percent,41 - 60 years  Percent,61 - 80 years  Percent,81 - 100 years  Percent,101 - 120 years  Percent,121 - 140 years  Percent,141+ years  Percent,Old Forest 100 120 140*
315,2005,Stockholm,Svealand,Protected,7.11,82.8,4.7,3.1,4.1,0.0,0.0,19.7,23.8,6.2,13.5,18.7,7.3,39.5
316,2005,Uppsala,Svealand,Protected,6.66,78.8,3.1,0.0,0.0,10.1,6.1,26.3,11.8,7.9,13.2,9.2,12.7,21.9
317,2005,Södermanland,Svealand,Protected,7.72,54.8,24.1,0.0,0.0,6.5,8.3,17.6,16.7,7.4,4.6,13.9,0.0,18.5
318,2005,Östergötland,Svealand,Protected,7.96,82.5,0.0,0.0,0.0,9.2,0.0,14.9,39.1,13.8,0.0,16.1,8.0,24.1
319,2005,Jönköping,Götaland,Protected,7.15,56.8,0.0,4.0,8.0,21.3,17.3,6.7,16.0,17.3,0.0,10.7,0.0,10.7
320,2005,Kronoberg,Götaland,Protected,6.36,64.4,2.4,4.8,4.2,9.6,3.6,20.5,29.5,6.0,15.7,4.8,0.0,4.8
321,2005,Kalmar,Götaland,Protected,7.22,70.6,0.0,3.4,3.9,4.4,9.3,18.6,12.3,26.0,19.1,2.5,0.0,21.6
322,2005,Gotland,Götaland,Protected,4.17,109.5,0.0,3.2,7.6,0.0,0.0,3.8,10.8,1.3,22.3,12.1,38.2,38.2
323,2005,Blekinge,Götaland,Protected,8.34,65.4,0.0,4.9,5.7,17.1,1.6,9.8,22.0,26.8,8.1,0.0,4.1,12.2
324,2005,Skåne,Götaland,Protected,8.24,62.3,1.9,11.2,4.1,9.4,3.0,23.6,15.0,6.7,11.2,13.1,0.0,24.3
325,2005,Halland,Götaland,Protected,8.3,69.8,1.8,8.8,4.4,3.5,0.0,16.8,25.7,22.1,15.9,0.0,2.7,18.6
326,2005,Västra Götaland,Götaland,Protected,7.66,77.4,0.0,7.7,3.8,2.2,1.6,13.7,22.5,22.5,12.1,10.7,3.6,26.4
327,2005,Värmland,Svealand,Protected,6.7,99.1,2.0,0.7,3.9,1.3,3.1,12.7,9.4,10.5,16.8,16.4,23.2,39.6
328,2005,Orebro,Svealand,Protected,6.74,77.9,3.8,6.0,3.8,8.8,6.6,8.8,16.0,6.3,16.0,11.3,12.6,23.9
329,2005,Västmanland,Svealand,Protected,6.42,72.4,4.0,8.3,4.7,5.3,8.0,13.0,5.7,18.3,15.7,15.3,2.0,17.3
330,2005,Dalarna,Svealand,Protected,4.69,106.5,3.3,2.8,4.6,1.7,0.9,6.0,5.4,7.5,16.8,17.1,33.7,33.7
331,2005,Gävleborg,Södra Norrland,Protected,6.01,66.0,0.0,9.4,17.4,8.9,3.8,8.9,4.7,23.0,8.0,8.9,7.0,15.9
332,2005,Västernorrland,Södra Norrland,Protected,5.92,91.9,0.0,0.0,4.9,6.3,0.0,14.6,20.9,5.8,17.0,10.7,19.9,30.6
333,2005,Jämtland,Södra Norrland,Protected,4.23,138.2,0.0,0.7,0.0,0.0,0.0,0.9,0.8,2.7,9.2,20.1,65.6,65.6
334,2005,Västerbotten,Norra Norrland,Protected,3.73,128.2,0.0,1.1,0.4,1.5,1.1,3.5,0.8,6.7,13.2,16.3,55.5,55.5
