,Year,County,Region,Clear-cut Areal,3-10 years  Areal,11 - 20 years  Areal,21 - 30 years  Areal,31 - 40 years  Areal,41 - 60 years  Areal,61 - 80 years  Areal,81 - 100 years  Areal,101 - 120 years  Areal,121 - 140 years  Areal,141+ years  Areal,Areal (1000 ha) Alla åldersklasser,average age,% old forest 100 120 140,Forest 80-120y.o.,% Forest 80-120y.o.,% Forest 141+ years old,Yearly growth m3 by hectare
0,1985,Stockholm,Svealand,18.6,27.6,23.0,19.8,15.8,45.7,40.4,52.4,24.1,10.5,6.2,284.1,58.1,14.4,76.5,26.9,2.2,7.11
1,1985,Uppsala,Svealand,27.4,44.0,43.5,43.5,29.5,65.4,94.2,72.4,29.7,7.8,1.9,459.3,52.5,2.1,102.1,22.2,0.4,6.66
2,1985,Södermanland,Svealand,17.7,32.5,44.0,35.0,29.4,68.3,55.8,39.8,11.6,1.3,2.2,337.6,45.9,4.5,51.4,15.2,0.7,7.72
3,1985,Östergötland,Götaland,29.8,66.2,76.1,71.7,46.2,91.7,109.8,74.4,29.4,7.2,6.2,608.7,48.0,7.0,103.8,17.1,1.0,7.96
4,1985,Jönköping,Götaland,27.8,58.2,80.5,61.9,41.0,134.7,147.1,105.0,35.3,14.0,5.2,710.7,53.0,7.7,140.3,19.7,0.7,7.15
5,1985,Kronoberg,Götaland,22.4,63.0,71.5,61.4,43.1,146.0,131.7,83.5,19.4,3.5,1.5,647.0,48.6,0.8,102.9,15.9,0.2,6.36
6,1985,Kalmar,Götaland,36.4,60.8,71.8,61.3,37.0,151.6,129.6,96.8,42.4,10.9,2.5,701.1,51.8,8.0,139.2,19.9,0.4,7.22
7,1985,Gotland,Götaland,7.4,8.8,8.7,5.8,5.5,15.5,12.5,22.8,21.7,10.3,4.9,123.9,71.3,12.3,44.5,35.9,4.0,4.17
8,1985,Blekinge,Götaland,6.3,15.4,23.5,19.5,12.3,55.6,29.8,14.2,2.8,0.3,,179.7,43.7,1.7,17.0,9.5,0.0,8.34
9,1985,Skåne,Götaland,17.7,27.0,44.3,45.5,32.9,92.5,59.0,30.3,9.4,1.6,0.4,360.6,44.2,3.2,39.7,11.0,0.1,8.24
10,1985,Halland,Götaland,5.4,20.6,26.8,26.4,26.4,82.1,53.5,20.0,3.8,0.6,0.0,265.6,46.2,1.7,23.8,9.0,0.0,8.3
11,1985,Västra Götaland,Götaland,49.1,114.5,161.6,130.3,83.7,198.0,251.6,180.2,62.7,19.2,4.5,1255.4,50.5,6.9,242.9,19.3,0.4,7.66
12,1985,Värmland,Svealand,61.5,166.0,191.7,162.1,101.9,130.4,149.6,161.6,112.5,53.5,28.9,1319.7,51.1,6.2,274.1,20.8,2.2,6.7
13,1985,Orebro,Svealand,24.5,72.1,86.9,49.4,33.7,78.4,78.2,76.6,49.3,8.9,0.8,558.8,48.9,1.7,125.9,22.5,0.1,6.74
14,1985,Västmanland,Svealand,14.2,31.0,36.0,26.8,18.3,44.3,44.9,46.3,16.8,4.8,1.2,284.6,50.2,2.1,63.1,22.2,0.4,6.42
15,1985,Dalarna,Svealand,120.7,258.0,168.3,121.7,84.8,110.3,216.5,263.8,257.0,178.4,124.8,1904.3,66.7,6.6,520.8,27.3,6.6,4.69
16,1985,Gävleborg,Södra Norrland,67.7,161.2,144.9,133.6,108.2,153.7,212.6,230.7,167.6,64.7,21.3,1466.2,57.7,5.9,398.3,27.2,1.5,6.01
17,1985,Västernorrland,Södra Norrland,83.3,186.9,154.5,119.7,76.2,140.2,195.1,269.0,228.2,118.8,59.8,1631.7,64.4,10.9,497.2,30.5,3.7,5.92
18,1985,Jämtland,Södra Norrland,160.6,263.9,186.3,134.8,68.1,118.1,204.6,377.4,453.1,334.9,290.2,2592.0,79.6,11.2,830.5,32.0,11.2,4.23
19,1985,Västerbotten,Norra Norrland,165.6,343.4,220.8,240.4,202.0,322.5,313.4,307.8,400.6,352.7,232.6,3101.8,68.7,7.5,708.4,22.8,7.5,3.73
20,1985,Norrbotten,Norra Norrland,170.4,385.9,324.0,240.8,197.1,381.6,340.6,331.5,446.2,339.2,234.1,3391.4,66.5,6.9,777.7,22.9,6.9,2.93
21,1986,Stockholm,Svealand,16.0,27.6,27.1,18.6,16.8,38.8,40.9,54.9,23.0,9.7,4.5,277.9,57.5,13.4,77.9,28.0,1.6,7.11
22,1986,Uppsala,Svealand,24.3,46.0,41.0,44.0,29.4,67.5,95.4,67.6,26.5,8.5,2.3,452.5,52.3,2.4,94.1,20.8,0.5,6.66
23,1986,Södermanland,Svealand,15.8,31.4,42.8,35.7,27.9,67.0,57.6,40.6,9.4,1.4,1.8,331.4,46.1,3.8,50.0,15.1,0.5,7.72
24,1986,Östergötland,Götaland,29.7,64.0,78.1,72.0,46.0,86.8,107.2,66.8,33.2,6.2,5.7,595.7,47.5,7.6,100.0,16.8,1.0,7.96
25,1986,Jönköping,Götaland,29.5,62.7,83.1,62.1,42.8,122.7,153.4,100.6,33.5,13.1,4.3,707.8,52.0,7.2,134.1,18.9,0.6,7.15
26,1986,Kronoberg,Götaland,22.0,57.9,75.8,59.2,43.9,141.5,128.9,82.1,19.2,4.3,1.9,636.7,48.7,1.0,101.3,15.9,0.3,6.36
27,1986,Kalmar,Götaland,34.0,63.7,73.7,57.4,38.6,154.6,130.3,99.3,36.8,10.5,2.2,701.1,51.3,7.1,136.1,19.4,0.3,7.22
28,1986,Gotland,Götaland,7.1,9.3,8.7,6.3,5.8,16.9,13.7,22.7,23.2,9.5,4.6,127.8,70.7,11.0,45.9,35.9,3.6,4.17
29,1986,Blekinge,Götaland,5.2,16.2,22.1,18.8,12.7,52.9,31.0,14.4,3.2,0.3,,176.8,44.4,2.0,17.6,10.0,0.0,8.34
30,1986,Skåne,Götaland,17.3,28.6,42.1,44.4,33.1,88.5,56.5,30.7,11.3,2.4,0.9,355.8,44.9,4.1,42.0,11.8,0.3,8.24
31,1986,Halland,Götaland,6.4,20.8,27.6,26.3,26.3,79.3,53.6,20.7,4.6,0.7,0.0,266.3,46.2,2.0,25.3,9.5,0.0,8.3
32,1986,Västra Götaland,Götaland,47.6,114.7,169.8,135.9,83.3,197.0,246.4,172.0,60.9,17.6,4.4,1249.6,49.7,6.6,232.9,18.6,0.4,7.66
33,1986,Värmland,Svealand,55.6,171.2,194.2,176.4,107.9,133.3,163.2,154.6,102.4,51.1,26.3,1336.2,49.9,5.8,257.0,19.2,2.0,6.7
34,1986,Orebro,Svealand,23.2,73.8,88.2,51.2,34.2,77.3,79.0,74.6,40.7,7.4,1.2,550.8,47.5,1.6,115.3,20.9,0.2,6.74
35,1986,Västmanland,Svealand,12.9,31.4,35.3,27.8,16.2,43.5,44.3,46.3,17.1,5.3,1.2,281.3,50.7,2.3,63.4,22.5,0.4,6.42
36,1986,Dalarna,Svealand,129.9,251.0,177.6,125.4,93.8,109.6,204.3,255.2,256.8,177.2,109.5,1890.3,65.2,5.8,512.0,27.1,5.8,4.69
37,1986,Gävleborg,Södra Norrland,71.4,155.1,154.7,136.3,109.5,151.8,193.9,225.9,166.4,69.5,24.5,1459.0,57.6,6.4,392.3,26.9,1.7,6.01
38,1986,Västernorrland,Södra Norrland,80.7,198.4,158.2,125.7,91.6,143.6,189.7,257.8,227.9,111.3,52.0,1636.9,62.6,10.0,485.7,29.7,3.2,5.92
39,1986,Jämtland,Södra Norrland,153.4,291.2,184.2,151.9,76.9,113.2,206.3,365.0,450.9,334.4,272.8,2600.2,78.0,10.5,815.9,31.4,10.5,4.23
40,1986,Västerbotten,Norra Norrland,171.3,342.5,246.2,242.3,208.9,338.8,304.6,320.3,407.8,341.8,203.0,3127.5,67.1,6.5,728.1,23.3,6.5,3.73
41,1986,Norrbotten,Norra Norrland,169.7,409.5,327.4,256.8,224.1,374.5,336.1,348.8,421.5,313.5,216.5,3398.4,64.4,6.4,770.3,22.7,6.4,2.93
42,1987,Stockholm,Svealand,16.6,28.4,29.6,16.4,17.9,36.3,40.9,54.3,23.0,10.0,3.6,277.0,56.8,13.2,77.3,27.9,1.3,7.11
43,1987,Uppsala,Svealand,23.3,47.8,41.1,45.1,34.7,69.0,93.7,67.8,30.5,8.9,3.1,465.0,52.7,2.6,98.3,21.1,0.7,6.66
44,1987,Södermanland,Svealand,11.9,31.8,41.6,31.1,28.8,64.4,52.9,34.9,11.6,1.9,1.8,312.7,46.4,4.9,46.5,14.9,0.6,7.72
45,1987,Östergötland,Götaland,29.2,68.4,73.6,79.9,50.5,87.4,102.5,62.3,36.0,6.9,6.1,602.8,47.1,8.1,98.3,16.3,1.0,7.96
46,1987,Jönköping,Götaland,28.7,64.3,79.9,60.4,47.8,117.1,159.8,101.0,34.1,13.8,5.0,711.9,52.5,7.4,135.1,19.0,0.7,7.15
47,1987,Kronoberg,Götaland,22.6,57.1,74.9,61.7,43.3,135.7,129.7,78.6,20.5,4.9,1.6,630.6,48.6,1.0,99.1,15.7,0.3,6.36
48,1987,Kalmar,Götaland,32.2,68.5,70.6,56.5,44.5,150.6,130.1,98.6,41.0,9.8,3.8,706.2,51.7,7.7,139.6,19.8,0.5,7.22
49,1987,Gotland,Götaland,7.4,8.5,8.2,6.1,5.8,16.9,11.6,20.8,20.6,9.3,4.2,119.4,69.6,11.3,41.4,34.7,3.5,4.17
50,1987,Blekinge,Götaland,4.9,17.9,23.2,20.2,13.0,50.0,33.2,14.6,3.6,0.3,,180.9,44.2,2.2,18.2,10.1,0.0,8.34
51,1987,Skåne,Götaland,17.7,27.6,43.1,46.9,34.0,85.8,57.2,29.3,11.6,1.9,0.9,356.0,44.4,4.0,40.9,11.5,0.3,8.24
52,1987,Halland,Götaland,6.4,21.3,29.0,29.3,26.4,80.3,53.0,21.9,4.7,1.0,0.1,273.4,46.0,2.1,26.6,9.7,0.0,8.3
53,1987,Västra Götaland,Götaland,48.1,110.9,171.3,140.4,83.3,195.4,244.4,171.1,59.7,19.5,4.0,1248.1,49.6,6.7,230.8,18.5,0.3,7.66
54,1987,Värmland,Svealand,49.7,166.4,207.3,171.9,113.0,133.0,156.7,168.5,95.0,50.0,25.7,1337.2,49.8,5.7,263.5,19.7,1.9,6.7
55,1987,Orebro,Svealand,22.1,74.0,87.6,57.6,38.3,72.0,81.8,73.7,43.0,7.8,2.2,560.1,47.8,1.8,116.7,20.8,0.4,6.74
